date,title,category,event_key,tags,hot,source,risk,status
2026-05-08,榴莲仅退款买家被行拘,social,榴莲仅退款纠纷,仅退款;消费者纠纷;平台治理;榴莲,266万,weibo,medium,todo
2026-05-08,榴莲仅退款买家发声,social,榴莲仅退款纠纷,仅退款;消费者纠纷;平台治理;榴莲,32万,weibo,medium,todo
2026-05-08,榴莲遭仅退款商家称希望公开道歉,social,榴莲仅退款纠纷,仅退款;消费者纠纷;平台治理;榴莲,,weibo,medium,todo
2026-05-08,台湾出现汉坦病毒致死病例,health,汉坦病毒疫情,汉坦病毒;公共卫生;传染病;台湾,83万,weibo,medium,todo
2026-05-08,汉坦病毒,health,汉坦病毒疫情,汉坦病毒;公共卫生;传染病,31万,weibo,medium,todo
2026-05-08,中疾控回应汉坦病毒疫情,health,汉坦病毒疫情,汉坦病毒;公共卫生;传染病;中疾控,15万,weibo,medium,todo
2026-05-08,曝小米汽车将推独立子品牌寻天,tech,小米汽车业务调整,小米汽车;新能源车;品牌;商业,71万,weibo,low,todo
2026-05-08,小米汽车高层调整,tech,小米汽车业务调整,小米汽车;新能源车;管理层;商业,15万,weibo,low,todo
2026-05-08,央视或低价拿下世界杯转播权,sports,世界杯转播权,世界杯;转播权;央视;体育商业,58万,weibo,low,todo
2026-05-08,香港拿下世界杯转播权,sports,世界杯转播权,世界杯;转播权;香港;体育商业,9万,weibo,low,todo
"2026-05-09","仅退款规则与平台治理（复现）","social","仅退款规则争议","仅退款;平台规则;消费者权益;售后","","weibo","medium","todo"
"2026-05-09","世界杯转播权与付费观看体验（复现）","sports","世界杯转播权","世界杯;转播权;观赛体验;会员","","weibo","low","todo"
"2026-05-09","小米汽车子品牌/业务调整（复现）","tech","小米汽车业务调整","小米汽车;子品牌;交付;售后","","weibo","medium","todo"
"2026-05-09","汉坦病毒相关科普（复现）","health","汉坦病毒疫情","汉坦病毒;公共卫生;科普;防护","","weibo","medium","todo"
"2026-05-09","猫帮我提了离职（职场情绪）","life","职场情绪出口","离职;打工人;情绪;职场","","weibo","low","todo"
"2026-05-09","精神病院炒股类荒诞热搜（信息甄别）","social","荒诞热搜信息甄别","信息甄别;谣言;情绪;传播","","weibo","high","todo"
"2026-05-09","再有消息就是要结婚了（关系确定性）","life","关系确定性讨论","感情;官宣;结婚;确定性","","weibo","medium","todo"
"2026-05-09","工作后朋友圈变了（省电模式）","life","朋友圈省电模式","朋友圈;边界感;社交;生活观察","","weibo","low","todo"
"2026-05-09","救救跑男（热搜榜）","entertainment","救救跑男","跑男;综艺;舆情","1080194","weibo","low","todo"
"2026-05-09","再有消息就是要结婚了","entertainment","关系确定性讨论","结婚;恋爱;官宣;关系确定性","rank1","hotflash_weibo","medium","todo"
"2026-05-09","同价买奥迪还是买小米","auto","小米汽车消费选择","奥迪;小米汽车;新能源车;消费选择","rank2","hotflash_weibo","medium","todo"
"2026-05-09","五一消费潜力充分释放","finance","五一消费复苏","五一消费;消费数据;文旅;年轻人消费","rank3","hotflash_weibo","low","todo"
"2026-05-09","精神病院炒股炒成公司前十大股东","finance","荒诞财经热搜","上市公司;炒股;前十大股东;信息甄别","rank7","hotflash_weibo","medium","todo"
"2026-05-09","70%卵巢癌患者确诊时已是晚期","health","卵巢癌科普","卵巢癌;女性健康;筛查;科普","rank10","hotflash_weibo","medium","todo"
"2026-05-09","浏阳爆炸烟花厂内部画面","social","浏阳烟花厂爆炸","安全生产;烟花厂;事故;后续","rank12","hotflash_weibo","high","todo"
"2026-05-09","皮皮虾事件当事人否认想吃白食","consumer","三亚皮皮虾价格争议","皮皮虾;旅游消费;价格争议;反转","rank17","hotflash_weibo","medium","todo"
"2026-05-09","榴莲仅退款买家被行拘","consumer","榴莲仅退款纠纷","仅退款;平台规则;买卖纠纷;行政拘留","rank26","hotflash_weibo","medium","todo"
"2026-05-09","多国网友力挺中国拒世界杯天价转播权（热搜新）","sports","世界杯天价转播权","世界杯;转播权;体育商业;国际舆论","343568","weibo","low","todo"
"2026-05-09","英伟达新技术翻车（热搜）","tech","英伟达新技术翻车","英伟达;AI;技术;翻车","329576","weibo","medium","todo"
"2026-05-09","小米高管回应保时捷纽北超越SU7（热搜）","tech","SU7 纽北争议","小米;SU7;纽北;保时捷;回应","192604","weibo","medium","todo"
"2026-05-09","尘白禁区退钱（热搜新）","game","尘白禁区退钱","尘白禁区;退钱;游戏;消费","185784","weibo","medium","todo"
"2026-05-09","13岁女孩沉迷二次元花光家里18万（热搜新）","social","未成年人消费与沉迷","未成年人;消费;二次元;家庭教育","199904","weibo","medium","todo"
"2026-05-09","8名中国人赴泰私拍短剧被逮捕（热搜新）","social","赴泰私拍短剧被逮捕","泰国;短剧;出境;法律风险","145256","weibo","high","todo"
"2026-05-09","王暖暖差点没抢救回来（热搜新）","social","王暖暖送医抢救","王暖暖;送医抢救;创伤叙事;网暴风险","316660","weibo","high","todo"
