"level","priority_score","event_key","latest_title","category","max_hot","dual_chart_bonus","count_1d","count_3d","count_7d","count_15d","count_30d","count_90d","count_180d","count_365d","risk","suggested_action","tags"
"S","163.63","世界杯转播权","世界杯转播权与付费观看体验（复现）","sports","580000","0","1","3","3","3","3","3","3","3","low","must_publish_today","世界杯;转播权;观赛体验;会员"
"S","161.19","汉坦病毒疫情","汉坦病毒相关科普（复现）","health","830000","0","1","4","4","4","4","4","4","4","medium","must_publish_today","汉坦病毒;公共卫生;科普;防护"
"S","160.51","小米汽车业务调整","小米汽车子品牌/业务调整（复现）","tech","710000","0","1","3","3","3","3","3","3","3","medium","must_publish_today","小米汽车;子品牌;交付;售后"
"S","160.25","榴莲仅退款纠纷","榴莲仅退款买家被行拘","consumer","2660000","0","1","4","4","4","4","4","4","4","medium","must_publish_today","仅退款;平台规则;买卖纠纷;行政拘留"
"S","111.01","关系确定性讨论","再有消息就是要结婚了","entertainment","1","12","2","2","2","2","2","2","2","2","medium","must_publish_today","结婚;恋爱;官宣;关系确定性"
"S","86.34","救救跑男","救救跑男（热搜榜）","entertainment","1080194","0","1","1","1","1","1","1","1","1","low","must_publish_today","跑男;综艺;舆情"
"S","81.36","世界杯天价转播权","多国网友力挺中国拒世界杯天价转播权（热搜新）","sports","343568","0","1","1","1","1","1","1","1","1","low","must_publish_today","世界杯;转播权;体育商业;国际舆论"
"A","77.18","英伟达新技术翻车","英伟达新技术翻车（热搜）","tech","329576","0","1","1","1","1","1","1","1","1","medium","publish_today","英伟达;AI;技术;翻车"
"A","75.01","未成年人消费与沉迷","13岁女孩沉迷二次元花光家里18万（热搜新）","social","199904","0","1","1","1","1","1","1","1","1","medium","publish_today","未成年人;消费;二次元;家庭教育"
"A","74.85","SU7 纽北争议","小米高管回应保时捷纽北超越SU7（热搜）","tech","192604","0","1","1","1","1","1","1","1","1","medium","publish_today","小米;SU7;纽北;保时捷;回应"
"A","68.69","尘白禁区退钱","尘白禁区退钱（热搜新）","game","185784","0","1","1","1","1","1","1","1","1","medium","publish_today","尘白禁区;退钱;游戏;消费"
"A","62.01","王暖暖送医抢救","王暖暖差点没抢救回来（热搜新）","social","316660","0","1","1","1","1","1","1","1","1","high","publish_today","王暖暖;送医抢救;创伤叙事;网暴风险"
"B","58.62","赴泰私拍短剧被逮捕","8名中国人赴泰私拍短剧被逮捕（热搜新）","social","145256","0","1","1","1","1","1","1","1","1","high","draft_backup","泰国;短剧;出境;法律风险"
"C","38.02","五一消费复苏","五一消费潜力充分释放","finance","3","0","1","1","1","1","1","1","1","1","low","watch","五一消费;消费数据;文旅;年轻人消费"
"C","32.41","卵巢癌科普","70%卵巢癌患者确诊时已是晚期","health","10","0","1","1","1","1","1","1","1","1","medium","watch","卵巢癌;女性健康;筛查;科普"
"C","31.03","荒诞财经热搜","精神病院炒股炒成公司前十大股东","finance","7","0","1","1","1","1","1","1","1","1","medium","watch","上市公司;炒股;前十大股东;信息甄别"
"C","28.55","三亚皮皮虾价格争议","皮皮虾事件当事人否认想吃白食","consumer","17","0","1","1","1","1","1","1","1","1","medium","watch","皮皮虾;旅游消费;价格争议;反转"
"C","26","朋友圈省电模式","工作后朋友圈变了（省电模式）","life","0","0","1","1","1","1","1","1","1","1","low","watch","朋友圈;边界感;社交;生活观察"
"C","26","职场情绪出口","猫帮我提了离职（职场情绪）","life","0","0","1","1","1","1","1","1","1","1","low","watch","离职;打工人;情绪;职场"
"C","22","仅退款规则争议","仅退款规则与平台治理（复现）","social","0","0","1","1","1","1","1","1","1","1","medium","watch","仅退款;平台规则;消费者权益;售后"
"C","20.77","小米汽车消费选择","同价买奥迪还是买小米","auto","2","0","1","1","1","1","1","1","1","1","medium","watch","奥迪;小米汽车;新能源车;消费选择"
"D","18.14","浏阳烟花厂爆炸","浏阳爆炸烟花厂内部画面","social","12","0","1","1","1","1","1","1","1","1","high","watch","安全生产;烟花厂;事故;后续"
"D","7","荒诞热搜信息甄别","精神病院炒股类荒诞热搜（信息甄别）","social","0","0","1","1","1","1","1","1","1","1","high","watch","信息甄别;谣言;情绪;传播"
