"rank","term","flag","hot"
"1","救救跑男","热","1080194"
"24","偏偏宠爱 宋威龙包上恩","","361185"
"25","田曦薇 刘海","","359542"
"26","多国网友力挺中国拒世界杯天价转播权","新","343568"
"27","阿信感谢王俊凯","新","336880"
"28","英伟达新技术翻车","","329576"
"29","李金铭答应没事多出来互动","新","324247"
"30","王暖暖差点没抢救回来","新","316660"
"31","李现是张婧仪的站姐吧","","310257"
"32","浪姐三公已经彩排三次了","新","287140"
"33","香港警方解密湾仔双尸案","","243121"
"34","跑男新一期收视率创新低","","229521"
"35","商场的镜子会骗人","新","214282"
"36","马刺vs森林狼","新","214148"
"37","尚界Z7挑战世界落差最高山路","新","211254"
"38","时代姐妹花4个人有3个群","新","208787"
"39","13岁女孩沉迷二次元花光家里18万","新","199904"
"40","中国地铁被谬认为日本还在发生","","197273"
"41","小米高管回应保时捷纽北超越SU7","","192604"
"42","尘白禁区退钱","新","185784"
"43","南京这下真要变徽京了","新","169451"
"44","男子杀15岁少女弃尸和妻子外出吃饭","新","164230"
"45","文佳煐第一位95后韩国三大影后","","157309"
"46","余华真的读得全身发抖吗","","155023"
"47","DRG老板道歉","","151072"
"48","12名农民工遭车位抵薪32万元","","149522"
"49","网红七七搭档刘敏涛演戏","","149046"
"50","8名中国人赴泰私拍短剧被逮捕","新","14525"
